T,Dataset,Model,Efficiency,AvgError
57,as20000102,EDDBM,97.8,0.0389448
57,as20000102,CAEDDBM,98,0.0328853
57,as20000102,PDEDDBM,97.6,0.0462692
58,as20000102,EDDBM,97.8,0.0391195
58,as20000102,CAEDDBM,98,0.0324156
58,as20000102,PDEDDBM,97.6,0.0474545
59,as20000102,EDDBM,97.8,0.0387795
59,as20000102,CAEDDBM,98,0.0328066
59,as20000102,PDEDDBM,97.6,0.0490123
60,as20000102,EDDBM,97.8,0.0394265
60,as20000102,CAEDDBM,98,0.0325689
60,as20000102,PDEDDBM,97.6,0.0492674
61,as20000102,EDDBM,97.8,0.0395639
61,as20000102,CAEDDBM,98,0.0336708
61,as20000102,PDEDDBM,97.4,0.0505944
62,as20000102,EDDBM,97.8,0.0395907
62,as20000102,CAEDDBM,98,0.0333578
62,as20000102,PDEDDBM,97.4,0.0503464
63,as20000102,EDDBM,97.8,0.0397368
63,as20000102,CAEDDBM,98,0.0333595
63,as20000102,PDEDDBM,97.4,0.0495026
64,as20000102,EDDBM,97.6,0.0390677
64,as20000102,CAEDDBM,98,0.0328935
64,as20000102,PDEDDBM,97.4,0.0486375
65,as20000102,EDDBM,97.6,0.0388108
65,as20000102,CAEDDBM,98,0.0331255
65,as20000102,PDEDDBM,97.4,0.0482557
66,as20000102,EDDBM,97.8,0.0395121
66,as20000102,CAEDDBM,98,0.0332422
66,as20000102,PDEDDBM,97.6,0.0483584
67,as20000102,EDDBM,98,0.0391639
67,as20000102,CAEDDBM,98,0.0338662
67,as20000102,PDEDDBM,97.6,0.0475612
68,as20000102,EDDBM,98,0.0386918
68,as20000102,CAEDDBM,98,0.0334222
68,as20000102,PDEDDBM,97.6,0.0467792
69,as20000102,EDDBM,98,0.0391728
69,as20000102,CAEDDBM,98,0.0330672
69,as20000102,PDEDDBM,97.6,0.0462185
70,as20000102,EDDBM,98,0.0386658
70,as20000102,CAEDDBM,98,0.0343161
70,as20000102,PDEDDBM,97.6,0.0475285
71,as20000102,EDDBM,98,0.0395161
71,as20000102,CAEDDBM,98,0.0343641
71,as20000102,PDEDDBM,97.6,0.0468411
72,as20000102,EDDBM,98,0.0397615
72,as20000102,CAEDDBM,98,0.0342223
72,as20000102,PDEDDBM,97.6,0.0472871
73,as20000102,EDDBM,98,0.0394237
73,as20000102,CAEDDBM,98,0.034483
73,as20000102,PDEDDBM,97.6,0.0465193
74,as20000102,EDDBM,98,0.0391907
74,as20000102,CAEDDBM,98,0.034124
74,as20000102,PDEDDBM,97.6,0.0462859
75,as20000102,EDDBM,98,0.0389215
75,as20000102,CAEDDBM,98,0.033666
75,as20000102,PDEDDBM,97.6,0.046496
76,as20000102,EDDBM,98,0.0403483
76,as20000102,CAEDDBM,98,0.0341229
76,as20000102,PDEDDBM,97.6,0.0460348
77,as20000102,EDDBM,98,0.0401953
77,as20000102,CAEDDBM,98,0.0343939
77,as20000102,PDEDDBM,97.6,0.0457709
78,as20000102,EDDBM,98,0.039928
78,as20000102,CAEDDBM,98,0.0344069
78,as20000102,PDEDDBM,97.6,0.0451925
79,as20000102,EDDBM,98,0.0402116
79,as20000102,CAEDDBM,98,0.0343239
79,as20000102,PDEDDBM,97.6,0.0455547
80,as20000102,EDDBM,98,0.0403532
80,as20000102,CAEDDBM,98,0.0343109
80,as20000102,PDEDDBM,97.8,0.0454787
81,as20000102,EDDBM,98,0.0407513
81,as20000102,CAEDDBM,98,0.0340235
81,as20000102,PDEDDBM,97.8,0.0450654
82,as20000102,EDDBM,98,0.0406296
82,as20000102,CAEDDBM,98,0.0339272
82,as20000102,PDEDDBM,97.8,0.044412
83,as20000102,EDDBM,98,0.0405589
83,as20000102,CAEDDBM,98,0.033789
83,as20000102,PDEDDBM,97.8,0.0439962
84,as20000102,EDDBM,98,0.0405201
84,as20000102,CAEDDBM,98,0.0334775
84,as20000102,PDEDDBM,97.8,0.0439235
85,as20000102,EDDBM,98,0.0404457
85,as20000102,CAEDDBM,98,0.0331456
