T,Dataset,Model,Efficiency,AvgError
53,Wiki-Vote,CAEDDBM,98.6,0.55973
53,Wiki-Vote,PDEDDBM,96.6,0.519573
54,Wiki-Vote,EDDBM,99.2,0.529057
54,Wiki-Vote,CAEDDBM,98.4,0.559937
54,Wiki-Vote,PDEDDBM,96.6,0.51772
55,Wiki-Vote,EDDBM,99,0.526852
55,Wiki-Vote,CAEDDBM,98.6,0.561569
55,Wiki-Vote,PDEDDBM,96.2,0.518695
56,Wiki-Vote,EDDBM,99.2,0.525421
56,Wiki-Vote,CAEDDBM,98.6,0.560994
56,Wiki-Vote,PDEDDBM,96.2,0.518757
57,Wiki-Vote,EDDBM,99.4,0.524619
57,Wiki-Vote,CAEDDBM,98.6,0.560187
57,Wiki-Vote,PDEDDBM,96.2,0.518635
58,Wiki-Vote,EDDBM,99.6,0.523379
58,Wiki-Vote,CAEDDBM,98.6,0.55838
58,Wiki-Vote,PDEDDBM,96.2,0.519413
59,Wiki-Vote,EDDBM,99.6,0.524281
59,Wiki-Vote,CAEDDBM,98.6,0.557781
59,Wiki-Vote,PDEDDBM,96,0.5189
60,Wiki-Vote,EDDBM,99.8,0.525197
60,Wiki-Vote,CAEDDBM,99,0.556905
60,Wiki-Vote,PDEDDBM,96.6,0.517953
61,Wiki-Vote,EDDBM,99.8,0.526986
61,Wiki-Vote,CAEDDBM,98.8,0.557994
61,Wiki-Vote,PDEDDBM,
